"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2008","2008","NBR","Number","0","Units",,,5841400,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2009","2009","NBR","Number","0","Units",,,6226500,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2010","2010","NBR","Number","0","Units",,,7055200,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2011","2011","NBR","Number","0","Units",,,7765900,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2012","2012","NBR","Number","0","Units",,,8206000,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2013","2013","NBR","Number","0","Units",,,8709600,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2014","2014","NBR","Number","0","Units",,,9139100,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2015","2015","NBR","Number","0","Units",,,9420300,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2016","2016","NBR","Number","0","Units",,,9969800,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2017","2017","NBR","Number","0","Units",,,10535200,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2018","2018","NBR","Number","0","Units",,,11061400,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2019","2019","NBR","Number","0","Units",,,11308900,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2020","2020","NBR","Number","0","Units",,,2832400,,
"AUS","Australia","OBND_DEP_TOTAL","Total international departures","2021","2021","NBR","Number","0","Units",,,300800,,
"LUX","Luxembourg","OBND_DEP_TOTAL","Total international departures","2014","2014","NBR","Number","0","Units",,,3542814,,
"LUX","Luxembourg","OBND_DEP_TOTAL","Total international departures","2017","2017","NBR","Number","0","Units",,,3816770,,
"LUX","Luxembourg","OBND_DEP_TOTAL","Total international departures","2018","2018","NBR","Number","0","Units",,,4063193,,
"LUX","Luxembourg","OBND_DEP_TOTAL","Total international departures","2019","2019","NBR","Number","0","Units",,,4063246,,
"LUX","Luxembourg","OBND_DEP_TOTAL","Total international departures","2020","2020","NBR","Number","0","Units",,,2451983,,
"LUX","Luxembourg","OBND_DEP_TOTAL","Total international departures","2021","2021","NBR","Number","0","Units",,,2758657,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2008","2008","NBR","Number","0","Units",,,10867999,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2009","2009","NBR","Number","0","Units",,,11066072,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2010","2010","NBR","Number","0","Units",,,12988001,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2011","2011","NBR","Number","0","Units",,,13994002,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2012","2012","NBR","Number","0","Units",,,14924755,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2013","2013","NBR","Number","0","Units",,,16626316,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2014","2014","NBR","Number","0","Units",,,18332319,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2015","2015","NBR","Number","0","Units",,,20376307,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2016","2016","NBR","Number","0","Units",,,21871995,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2017","2017","NBR","Number","0","Units",,,23942957,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2018","2018","NBR","Number","0","Units",,,26296484,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2019","2019","NBR","Number","0","Units",,,26915034,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2020","2020","NBR","Number","0","Units",,,7294566,,
"IND","India","OBND_DEP_TOTAL","Total international departures","2021","2021","NBR","Number","0","Units",,,8283284,"P","Provisional value"
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2008","2008","NBR","Number","0","Units",,,4996594,,
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2009","2009","NBR","Number","0","Units",,,5053269,,
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2010","2010","NBR","Number","0","Units",,,6235606,,
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2011","2011","NBR","Number","0","Units",,,6750416,,
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2012","2012","NBR","Number","0","Units",,,7453633,,
"IDN","Indonesia","OBND_DEP_TOTAL","Total international departures","2013","2013","NBR","Number","0","Units",,,8084013.099,,
