"COUNTRY","Country","VARIABLE","Variable","SOURCE","Source","YEAR","Year","Value","Flag Codes","Flags"
"CAN","Canada","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2019","2019",32430000,,
"CAN","Canada","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2020","2020",5068000,,
"CAN","Canada","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2021","2021",4282000,,
"CAN","Canada","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2019","2019",22145000,,
"CAN","Canada","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2020","2020",2960000,,
"CAN","Canada","INB_ARRIVALS_OVERNIGHT","Overnight visitors (tourists)","DEMAND","Tourism demand surveys","2021","2021",3062000,,
"CAN","Canada","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2019","2019",10285000,,
"CAN","Canada","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2020","2020",2108000,,
"CAN","Canada","INB_ARRIVALS_SAME_DAY","Same-day visitors (excursionists)","DEMAND","Tourism demand surveys","2021","2021",1220000,,
"CAN","Canada","AUS","Australia","DEMAND","Tourism demand surveys","2019","2019",335000,,
"CAN","Canada","AUS","Australia","DEMAND","Tourism demand surveys","2020","2020",49000,,
"CAN","Canada","AUS","Australia","DEMAND","Tourism demand surveys","2021","2021",10000,,
"CAN","Canada","CHN","China","DEMAND","Tourism demand surveys","2019","2019",717000,,
"CAN","Canada","CHN","China","DEMAND","Tourism demand surveys","2020","2020",94000,,
"CAN","Canada","CHN","China","DEMAND","Tourism demand surveys","2021","2021",40000,,
"CAN","Canada","DEU","Germany","DEMAND","Tourism demand surveys","2019","2019",394000,,
"CAN","Canada","DEU","Germany","DEMAND","Tourism demand surveys","2020","2020",40000,,
"CAN","Canada","DEU","Germany","DEMAND","Tourism demand surveys","2021","2021",54000,,
"CAN","Canada","FRA","France","DEMAND","Tourism demand surveys","2019","2019",658000,,
"CAN","Canada","FRA","France","DEMAND","Tourism demand surveys","2020","2020",96000,,
"CAN","Canada","FRA","France","DEMAND","Tourism demand surveys","2021","2021",121000,,
"CAN","Canada","GBR","United Kingdom","DEMAND","Tourism demand surveys","2019","2019",883000,,
"CAN","Canada","GBR","United Kingdom","DEMAND","Tourism demand surveys","2020","2020",96000,,
"CAN","Canada","GBR","United Kingdom","DEMAND","Tourism demand surveys","2021","2021",112000,,
"CAN","Canada","JPN","Japan","DEMAND","Tourism demand surveys","2019","2019",240000,,
"CAN","Canada","JPN","Japan","DEMAND","Tourism demand surveys","2020","2020",31000,,
"CAN","Canada","JPN","Japan","DEMAND","Tourism demand surveys","2021","2021",11000,,
"CAN","Canada","USA","United States","DEMAND","Tourism demand surveys","2019","2019",14977000,,
"CAN","Canada","USA","United States","DEMAND","Tourism demand surveys","2020","2020",1929000,,
"CAN","Canada","USA","United States","DEMAND","Tourism demand surveys","2021","2021",2093000,,
"JPN","Japan","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2019","2019",115656350,,
"JPN","Japan","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2020","2020",20345180,,
"JPN","Japan","INB_ACCOMM_ALL_NIGHTS","Nights in all types of accommodation","SUPPLY","Tourism supply surveys","2021","2021",4317140,,
"JPN","Japan","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2019","2019",115297490,,
"JPN","Japan","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2020","2020",20099960,,
"JPN","Japan","INB_ACCOMM_HOTEL_NIGHTS","Hotels and similar establishments","SUPPLY","Tourism supply surveys","2021","2021",4275720,,
"JPN","Japan","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2019","2019",358860,,
"JPN","Japan","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2020","2020",245220,,
"JPN","Japan","INB_ACCOMM_OTHER_COLL_NIGHTS","Other collective establishments","SUPPLY","Tourism supply surveys","2021","2021",41420,,
"JPN","Japan","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2019","2019",31882049,,
"JPN","Japan","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2020","2020",4115828,,
"JPN","Japan","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2021","2021",245862,"P","Provisional value"
"JPN","Japan","CHN","China","DEMAND","Tourism demand surveys","2019","2019",9594394,,
"JPN","Japan","CHN","China","DEMAND","Tourism demand surveys","2020","2020",1069256,,
"JPN","Japan","CHN","China","DEMAND","Tourism demand surveys","2021","2021",42239,"P","Provisional value"
"JPN","Japan","HKG","Hong Kong, China","DEMAND","Tourism demand surveys","2019","2019",2290792,,
"JPN","Japan","HKG","Hong Kong, China","DEMAND","Tourism demand surveys","2020","2020",346020,,
"JPN","Japan","HKG","Hong Kong, China","DEMAND","Tourism demand surveys","2021","2021",1252,"P","Provisional value"
"JPN","Japan","KOR","Korea","DEMAND","Tourism demand surveys","2019","2019",5584597,,
"JPN","Japan","KOR","Korea","DEMAND","Tourism demand surveys","2020","2020",487939,,
"JPN","Japan","KOR","Korea","DEMAND","Tourism demand surveys","2021","2021",18947,"P","Provisional value"
"JPN","Japan","TWN","Chinese Taipei","DEMAND","Tourism demand surveys","2019","2019",4890602,,
"JPN","Japan","TWN","Chinese Taipei","DEMAND","Tourism demand surveys","2020","2020",694476,,
"JPN","Japan","TWN","Chinese Taipei","DEMAND","Tourism demand surveys","2021","2021",5016,"P","Provisional value"
"JPN","Japan","USA","United States","DEMAND","Tourism demand surveys","2019","2019",1723861,,
"JPN","Japan","USA","United States","DEMAND","Tourism demand surveys","2020","2020",219307,,
"JPN","Japan","USA","United States","DEMAND","Tourism demand surveys","2021","2021",20026,"P","Provisional value"
"KOR","Korea","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2019","2019",17502756,,
"KOR","Korea","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2020","2020",2519118,,
"KOR","Korea","INB_ARRIVALS_TOTAL","Total international arrivals","DEMAND","Tourism demand surveys","2021","2021",967003,,
"KOR","Korea","CHN","China","DEMAND","Tourism demand surveys","2019","2019",6023021,,
"KOR","Korea","CHN","China","DEMAND","Tourism demand surveys","2020","2020",686430,,
"KOR","Korea","CHN","China","DEMAND","Tourism demand surveys","2021","2021",170215,,
"KOR","Korea","HKG","Hong Kong, China","DEMAND","Tourism demand surveys","2019","2019",694934,,
"KOR","Korea","HKG","Hong Kong, China","DEMAND","Tourism demand surveys","2020","2020",88878,,
"KOR","Korea","HKG","Hong Kong, China","DEMAND","Tourism demand surveys","2021","2021",1258,,
"KOR","Korea","JPN","Japan","DEMAND","Tourism demand surveys","2019","2019",3271706,,
"KOR","Korea","JPN","Japan","DEMAND","Tourism demand surveys","2020","2020",430742,,
"KOR","Korea","JPN","Japan","DEMAND","Tourism demand surveys","2021","2021",15265,,
"KOR","Korea","TWN","Chinese Taipei","DEMAND","Tourism demand surveys","2019","2019",1260493,,
