"COUNTRY","Country","VAR","Variable","CUR","Currency","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","EXPORT_TRAVEL","International travel receipts","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,5994.586,,
"BRA","Brazil","EXPORT_TRAVEL","International travel receipts","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,3043.954,,
"BRA","Brazil","IMPORT_TRAVEL","International travel expenditure","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,17593.413,,
"BRA","Brazil","IMPORT_TRAVEL","International travel expenditure","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,5393.652,,
"USA","United States","IMPORT_TRANSPORT_AIR_PAX","International air passenger transport expenditure","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,52795,,
"USA","United States","IMPORT_TRANSPORT_AIR_PAX","International air passenger transport expenditure","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,13371,,
"USA","United States","IMPORT_TRANSPORT_AIR_PAX","International air passenger transport expenditure","USD","US Dollars","2021","2021","USD","US Dollar","6","Millions",,,16181,,
"BRA","Brazil","IMPORT_TRANSPORT_SEA_PAX","International sea passenger transport expenditure","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,35.759,,
"BRA","Brazil","IMPORT_TRANSPORT_SEA_PAX","International sea passenger transport expenditure","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,0.001,,
"CAN","Canada","IMPORT_TRANSPORT","International passenger transport expenditure","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,7900.2,,
"CAN","Canada","IMPORT_TRANSPORT","International passenger transport expenditure","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,1891,,
"CAN","Canada","IMPORT_TRANSPORT","International passenger transport expenditure","USD","US Dollars","2021","2021","USD","US Dollar","6","Millions",,,1270.46,,
"KOR","Korea","EXPORT_TRANSPORT_AIR_PAX","International air passenger transport receipts","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,4566,,
"KOR","Korea","EXPORT_TRANSPORT_AIR_PAX","International air passenger transport receipts","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,1233.7,,
"KOR","Korea","IMPORT_TOTAL","Total international expenditure","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,35339.5,,
"KOR","Korea","IMPORT_TOTAL","Total international expenditure","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,16705.1,,
"JPN","Japan","IMPORT_TRANSPORT_SEA_PAX","International sea passenger transport expenditure","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,134.5,,
"JPN","Japan","IMPORT_TRANSPORT_SEA_PAX","International sea passenger transport expenditure","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,29.9,,
"USA","United States","EXPORT_TOTAL","Total international receipts","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,239446,,
"USA","United States","EXPORT_TOTAL","Total international receipts","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,84206,,
"USA","United States","EXPORT_TOTAL","Total international receipts","USD","US Dollars","2021","2021","USD","US Dollar","6","Millions",,,80956,,
"BRA","Brazil","IMPORT_TRANSPORT","International passenger transport expenditure","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,3584.582,,
"BRA","Brazil","IMPORT_TRANSPORT","International passenger transport expenditure","USD","US Dollars","2020","2020","USD","US Dollar","6","Millions",,,1096.298,,
"MEX","Mexico","IMPORT_TOTAL","Total international expenditure","USD","US Dollars","2019","2019","USD","US Dollar","6","Millions",,,12299.8,,
