Macrotrends Data Download

China Unemployment Rate 1991-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Unemployment Rate (%), Annual Change, 
1991-12-31,2.37
1992-12-31,2.37,0
1993-12-31,2.69,0.32
1994-12-31,2.9,0.21
1995-12-31,3,0.1
1996-12-31,3.12,0.12
1997-12-31,3.23,0.11
1998-12-31,3.24,0.01
1999-12-31,3.25,0.01
2000-12-31,3.26,0.01
2001-12-31,3.8,0.54
2002-12-31,4.24,0.44
2003-12-31,4.58,0.34
2004-12-31,4.49,-0.09
2005-12-31,4.52,0.03
2006-12-31,4.43,-0.09
2007-12-31,4.35,-0.08
2008-12-31,4.59,0.24
2009-12-31,4.72,0.13
2010-12-31,4.53,-0.19
2011-12-31,4.55,0.02
2012-12-31,4.57,0.02
2013-12-31,4.59,0.02
2014-12-31,4.61,0.02
2015-12-31,4.63,0.02
2016-12-31,4.53,-0.1
2017-12-31,4.44,-0.09
2018-12-31,4.28,-0.16
2019-12-31,4.52,0.24
2020-12-31,5,0.48
2021-12-31,4.817,-0.18
