"COUNTRY","Country","VAR","Variable","CUR","Currency","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2008","2008","AUD","Australian Dollar","6","Millions",,,37148,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2009","2009","AUD","Australian Dollar","6","Millions",,,38441,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2010","2010","AUD","Australian Dollar","6","Millions",,,38336,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2011","2011","AUD","Australian Dollar","6","Millions",,,37528,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2012","2012","AUD","Australian Dollar","6","Millions",,,36704,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2013","2013","AUD","Australian Dollar","6","Millions",,,38290,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2014","2014","AUD","Australian Dollar","6","Millions",,,42209,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2015","2015","AUD","Australian Dollar","6","Millions",,,48220,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2016","2016","AUD","Australian Dollar","6","Millions",,,52574,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2017","2017","AUD","Australian Dollar","6","Millions",,,57376,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2018","2018","AUD","Australian Dollar","6","Millions",,,63253,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2019","2019","AUD","Australian Dollar","6","Millions",,,68949,,
"AUS","Australia","EXPORT_TOTAL","Total international receipts","NAT","National currency","2020","2020","AUD","Australian Dollar","6","Millions",,,38382,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2008","2008","AUD","Australian Dollar","6","Millions",,,33398,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2009","2009","AUD","Australian Dollar","6","Millions",,,35426,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2010","2010","AUD","Australian Dollar","6","Millions",,,35522,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2011","2011","AUD","Australian Dollar","6","Millions",,,34856,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2012","2012","AUD","Australian Dollar","6","Millions",,,34213,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2013","2013","AUD","Australian Dollar","6","Millions",,,35950,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2014","2014","AUD","Australian Dollar","6","Millions",,,39802,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2015","2015","AUD","Australian Dollar","6","Millions",,,45585,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2016","2016","AUD","Australian Dollar","6","Millions",,,49827,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2017","2017","AUD","Australian Dollar","6","Millions",,,54470,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2018","2018","AUD","Australian Dollar","6","Millions",,,60276,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2019","2019","AUD","Australian Dollar","6","Millions",,,65752,,
"AUS","Australia","EXPORT_TRAVEL","International travel receipts","NAT","National currency","2020","2020","AUD","Australian Dollar","6","Millions",,,37521,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2008","2008","AUD","Australian Dollar","6","Millions",,,3750,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2009","2009","AUD","Australian Dollar","6","Millions",,,3015,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2010","2010","AUD","Australian Dollar","6","Millions",,,2814,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2011","2011","AUD","Australian Dollar","6","Millions",,,2672,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2012","2012","AUD","Australian Dollar","6","Millions",,,2491,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2013","2013","AUD","Australian Dollar","6","Millions",,,2340,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2014","2014","AUD","Australian Dollar","6","Millions",,,2407,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2015","2015","AUD","Australian Dollar","6","Millions",,,2635,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2016","2016","AUD","Australian Dollar","6","Millions",,,2747,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2017","2017","AUD","Australian Dollar","6","Millions",,,2906,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2018","2018","AUD","Australian Dollar","6","Millions",,,2977,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2019","2019","AUD","Australian Dollar","6","Millions",,,3197,,
"AUS","Australia","EXPORT_TRANSPORT","International passenger transport receipts","NAT","National currency","2020","2020","AUD","Australian Dollar","6","Millions",,,861,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2008","2008","AUD","Australian Dollar","6","Millions",,,32928,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2009","2009","AUD","Australian Dollar","6","Millions",,,32862,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2010","2010","AUD","Australian Dollar","6","Millions",,,34794,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2011","2011","AUD","Australian Dollar","6","Millions",,,38179,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2012","2012","AUD","Australian Dollar","6","Millions",,,40209,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2013","2013","AUD","Australian Dollar","6","Millions",,,43949,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2014","2014","AUD","Australian Dollar","6","Millions",,,43015,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2015","2015","AUD","Australian Dollar","6","Millions",,,45394,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2016","2016","AUD","Australian Dollar","6","Millions",,,47990,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2017","2017","AUD","Australian Dollar","6","Millions",,,51727,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2018","2018","AUD","Australian Dollar","6","Millions",,,56853,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2019","2019","AUD","Australian Dollar","6","Millions",,,59507,,
"AUS","Australia","IMPORT_TOTAL","Total international expenditure","NAT","National currency","2020","2020","AUD","Australian Dollar","6","Millions",,,11573,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2008","2008","AUD","Australian Dollar","6","Millions",,,26031,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2009","2009","AUD","Australian Dollar","6","Millions",,,27882,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2010","2010","AUD","Australian Dollar","6","Millions",,,29049,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2011","2011","AUD","Australian Dollar","6","Millions",,,31790,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2012","2012","AUD","Australian Dollar","6","Millions",,,33308,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2013","2013","AUD","Australian Dollar","6","Millions",,,37110,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2014","2014","AUD","Australian Dollar","6","Millions",,,36869,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2015","2015","AUD","Australian Dollar","6","Millions",,,38897,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2016","2016","AUD","Australian Dollar","6","Millions",,,41437,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2017","2017","AUD","Australian Dollar","6","Millions",,,44896,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2018","2018","AUD","Australian Dollar","6","Millions",,,49514,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2019","2019","AUD","Australian Dollar","6","Millions",,,51770,,
"AUS","Australia","IMPORT_TRAVEL","International travel expenditure","NAT","National currency","2020","2020","AUD","Australian Dollar","6","Millions",,,9831,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2008","2008","AUD","Australian Dollar","6","Millions",,,6897,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2009","2009","AUD","Australian Dollar","6","Millions",,,4980,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2010","2010","AUD","Australian Dollar","6","Millions",,,5745,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2011","2011","AUD","Australian Dollar","6","Millions",,,6389,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2012","2012","AUD","Australian Dollar","6","Millions",,,6901,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2013","2013","AUD","Australian Dollar","6","Millions",,,6839,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2014","2014","AUD","Australian Dollar","6","Millions",,,6146,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2015","2015","AUD","Australian Dollar","6","Millions",,,6497,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2016","2016","AUD","Australian Dollar","6","Millions",,,6553,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2017","2017","AUD","Australian Dollar","6","Millions",,,6831,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2018","2018","AUD","Australian Dollar","6","Millions",,,7339,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2019","2019","AUD","Australian Dollar","6","Millions",,,7737,,
"AUS","Australia","IMPORT_TRANSPORT","International passenger transport expenditure","NAT","National currency","2020","2020","AUD","Australian Dollar","6","Millions",,,1742,,
"AUT","Austria","EXPORT_TOTAL","Total international receipts","NAT","National currency","2008","2008","EUR","Euro","6","Millions",,,14677,,
"AUT","Austria","EXPORT_TOTAL","Total international receipts","NAT","National currency","2009","2009","EUR","Euro","6","Millions",,,13895,,
"AUT","Austria","EXPORT_TOTAL","Total international receipts","NAT","National currency","2010","2010","EUR","Euro","6","Millions",,,14027,,
"AUT","Austria","EXPORT_TOTAL","Total international receipts","NAT","National currency","2011","2011","EUR","Euro","6","Millions",,,14267,,
"AUT","Austria","EXPORT_TOTAL","Total international receipts","NAT","National currency","2012","2012","EUR","Euro","6","Millions",,,16648,,
"AUT","Austria","EXPORT_TOTAL","Total international receipts","NAT","National currency","2013","2013","EUR","Euro","6","Millions",,,17123,,
"AUT","Austria","EXPORT_TOTAL","Total international receipts","NAT","National currency","2014","2014","EUR","Euro","6","Millions",,,17444,,
"AUT","Austria","EXPORT_TOTAL","Total international receipts","NAT","National currency","2015","2015","EUR","Euro","6","Millions",,,18351,,
